year,month,precinct,offense_category,0
2021,April,0,AGGRAVATED ASSAULT,1
2021,April,0,DANGEROUS DRUGS,1
2021,April,0,LARCENY,1
2021,April,02,AGGRAVATED ASSAULT,73
2021,April,02,ARSON,6
2021,April,02,ASSAULT,115
2021,April,02,BURGLARY,27
2021,April,02,DAMAGE TO PROPERTY,71
2021,April,02,DANGEROUS DRUGS,4
2021,April,02,FAMILY OFFENSE,2
2021,April,02,FORGERY,2
2021,April,02,FRAUD,36
2021,April,02,HOMICIDE,3
2021,April,02,KIDNAPPING,2
2021,April,02,LARCENY,52
2021,April,02,OBSTRUCTING JUDICIARY,9
2021,April,02,OBSTRUCTING THE POLICE,12
2021,April,02,ROBBERY,8
2021,April,02,RUNAWAY,4
2021,April,02,SEX OFFENSES,19
2021,April,02,SEXUAL ASSAULT,6
2021,April,02,STOLEN PROPERTY,14
2021,April,02,STOLEN VEHICLE,43
2021,April,02,WEAPONS OFFENSES,21
2021,April,03,AGGRAVATED ASSAULT,23
2021,April,03,ASSAULT,74
2021,April,03,BURGLARY,14
2021,April,03,DAMAGE TO PROPERTY,67
2021,April,03,DANGEROUS DRUGS,3
2021,April,03,DISORDERLY CONDUCT,4
2021,April,03,FAMILY OFFENSE,1
2021,April,03,FRAUD,29
2021,April,03,HOMICIDE,1
2021,April,03,KIDNAPPING,3
2021,April,03,LARCENY,80
2021,April,03,MISCELLANEOUS,2
2021,April,03,OBSTRUCTING JUDICIARY,11
2021,April,03,OBSTRUCTING THE POLICE,8
2021,April,03,OTHER,3
2021,April,03,OUIL,2
2021,April,03,ROBBERY,14
2021,April,03,SEX OFFENSES,6
2021,April,03,SEXUAL ASSAULT,3
2021,April,03,STOLEN PROPERTY,11
2021,April,03,STOLEN VEHICLE,37
2021,April,03,WEAPONS OFFENSES,26
2021,April,04,AGGRAVATED ASSAULT,49
2021,April,04,ARSON,2
2021,April,04,ASSAULT,54
2021,April,04,BURGLARY,19
2021,April,04,DAMAGE TO PROPERTY,37
2021,April,04,DANGEROUS DRUGS,30
2021,April,04,FAMILY OFFENSE,1
2021,April,04,FRAUD,22
2021,April,04,HOMICIDE,2
2021,April,04,KIDNAPPING,1
2021,April,04,LARCENY,41
2021,April,04,MISCELLANEOUS,3
2021,April,04,OBSTRUCTING JUDICIARY,15
2021,April,04,OBSTRUCTING THE POLICE,7
2021,April,04,OTHER,2
2021,April,04,ROBBERY,7
2021,April,04,SEX OFFENSES,39
2021,April,04,SEXUAL ASSAULT,4
2021,April,04,STOLEN PROPERTY,19
2021,April,04,STOLEN VEHICLE,22
2021,April,04,WEAPONS OFFENSES,30
2021,April,05,AGGRAVATED ASSAULT,58
2021,April,05,ARSON,2
2021,April,05,ASSAULT,76
2021,April,05,BURGLARY,30
2021,April,05,DAMAGE TO PROPERTY,61
2021,April,05,DANGEROUS DRUGS,2
2021,April,05,DISORDERLY CONDUCT,1
2021,April,05,FAMILY OFFENSE,1
2021,April,05,FRAUD,24
2021,April,05,HOMICIDE,5
2021,April,05,KIDNAPPING,1
2021,April,05,LARCENY,53
2021,April,05,OBSTRUCTING JUDICIARY,3
2021,April,05,OBSTRUCTING THE POLICE,2
2021,April,05,ROBBERY,6
2021,April,05,RUNAWAY,3
2021,April,05,SEX OFFENSES,4
2021,April,05,SEXUAL ASSAULT,4
2021,April,05,STOLEN PROPERTY,10
2021,April,05,STOLEN VEHICLE,25
2021,April,05,WEAPONS OFFENSES,36
2021,April,06,AGGRAVATED ASSAULT,96
2021,April,06,ARSON,4
2021,April,06,ASSAULT,146
2021,April,06,BURGLARY,32
2021,April,06,DAMAGE TO PROPERTY,97
2021,April,06,DANGEROUS DRUGS,4
2021,April,06,DISORDERLY CONDUCT,1
2021,April,06,FORGERY,2
2021,April,06,FRAUD,37
2021,April,06,HOMICIDE,1
2021,April,06,KIDNAPPING,2
2021,April,06,LARCENY,66
2021,April,06,MISCELLANEOUS,1
2021,April,06,OBSTRUCTING JUDICIARY,5
2021,April,06,OBSTRUCTING THE POLICE,12
2021,April,06,OTHER,1
2021,April,06,ROBBERY,6
2021,April,06,RUNAWAY,9
2021,April,06,SEX OFFENSES,6
2021,April,06,SEXUAL ASSAULT,5
2021,April,06,STOLEN PROPERTY,28
2021,April,06,STOLEN VEHICLE,56
2021,April,06,WEAPONS OFFENSES,58
2021,April,07,AGGRAVATED ASSAULT,41
2021,April,07,ARSON,4
2021,April,07,ASSAULT,56
2021,April,07,BURGLARY,7
2021,April,07,DAMAGE TO PROPERTY,57
2021,April,07,DANGEROUS DRUGS,7
2021,April,07,FAMILY OFFENSE,2
2021,April,07,FRAUD,26
2021,April,07,HOMICIDE,3
2021,April,07,KIDNAPPING,1
2021,April,07,LARCENY,89
2021,April,07,OBSTRUCTING JUDICIARY,4
2021,April,07,OBSTRUCTING THE POLICE,2
2021,April,07,OTHER,3
2021,April,07,OUIL,2
2021,April,07,ROBBERY,6
2021,April,07,RUNAWAY,2
2021,April,07,SEX OFFENSES,3
2021,April,07,SEXUAL ASSAULT,2
2021,April,07,STOLEN PROPERTY,13
2021,April,07,STOLEN VEHICLE,29
2021,April,07,WEAPONS OFFENSES,13
2021,April,08,AGGRAVATED ASSAULT,79
2021,April,08,ARSON,8
2021,April,08,ASSAULT,137
2021,April,08,BURGLARY,38
2021,April,08,DAMAGE TO PROPERTY,117
2021,April,08,DANGEROUS DRUGS,11
2021,April,08,FAMILY OFFENSE,3
2021,April,08,FORGERY,2
2021,April,08,FRAUD,56
2021,April,08,HOMICIDE,3
2021,April,08,KIDNAPPING,3
2021,April,08,LARCENY,88
2021,April,08,MISCELLANEOUS,2
2021,April,08,OBSTRUCTING JUDICIARY,9
2021,April,08,OBSTRUCTING THE POLICE,17
2021,April,08,OTHER,1
2021,April,08,OUIL,2
2021,April,08,ROBBERY,9
2021,April,08,RUNAWAY,3
2021,April,08,SEX OFFENSES,39
2021,April,08,SEXUAL ASSAULT,9
2021,April,08,STOLEN PROPERTY,15
2021,April,08,STOLEN VEHICLE,77
