year,year_month,precinct,offense_category,counts,crime_bucket
2015,2015-04,08,WEAPONS OFFENSES,1,Weapons
2016,2016-12,02,WEAPONS OFFENSES,9,Weapons
2016,2016-12,03,WEAPONS OFFENSES,4,Weapons
2016,2016-12,04,WEAPONS OFFENSES,4,Weapons
2016,2016-12,05,WEAPONS OFFENSES,12,Weapons
2016,2016-12,06,WEAPONS OFFENSES,10,Weapons
2016,2016-12,07,WEAPONS OFFENSES,4,Weapons
2016,2016-12,08,WEAPONS OFFENSES,8,Weapons
2016,2016-12,09,WEAPONS OFFENSES,10,Weapons
2016,2016-12,10,WEAPONS OFFENSES,8,Weapons
2016,2016-12,11,WEAPONS OFFENSES,5,Weapons
2016,2016-12,12,WEAPONS OFFENSES,5,Weapons
2016,2017-01,09,WEAPONS OFFENSES,1,Weapons
2017,2017-01,02,WEAPONS OFFENSES,15,Weapons
2017,2017-01,03,WEAPONS OFFENSES,5,Weapons
2017,2017-01,04,WEAPONS OFFENSES,3,Weapons
2017,2017-01,05,WEAPONS OFFENSES,13,Weapons
2017,2017-01,06,WEAPONS OFFENSES,15,Weapons
2017,2017-01,07,WEAPONS OFFENSES,8,Weapons
2017,2017-01,08,WEAPONS OFFENSES,28,Weapons
2017,2017-01,09,WEAPONS OFFENSES,18,Weapons
2017,2017-01,10,WEAPONS OFFENSES,6,Weapons
2017,2017-01,11,WEAPONS OFFENSES,12,Weapons
2017,2017-01,12,WEAPONS OFFENSES,11,Weapons
2017,2017-02,02,WEAPONS OFFENSES,7,Weapons
2017,2017-02,03,WEAPONS OFFENSES,4,Weapons
2017,2017-02,04,WEAPONS OFFENSES,1,Weapons
2017,2017-02,05,WEAPONS OFFENSES,16,Weapons
2017,2017-02,06,WEAPONS OFFENSES,11,Weapons
2017,2017-02,07,WEAPONS OFFENSES,4,Weapons
2017,2017-02,08,WEAPONS OFFENSES,31,Weapons
2017,2017-02,09,WEAPONS OFFENSES,13,Weapons
2017,2017-02,10,WEAPONS OFFENSES,19,Weapons
2017,2017-02,11,WEAPONS OFFENSES,9,Weapons
2017,2017-02,12,WEAPONS OFFENSES,12,Weapons
2017,2017-03,02,WEAPONS OFFENSES,12,Weapons
2017,2017-03,03,WEAPONS OFFENSES,9,Weapons
2017,2017-03,04,WEAPONS OFFENSES,3,Weapons
2017,2017-03,05,WEAPONS OFFENSES,14,Weapons
2017,2017-03,06,WEAPONS OFFENSES,13,Weapons
2017,2017-03,07,WEAPONS OFFENSES,4,Weapons
2017,2017-03,08,WEAPONS OFFENSES,23,Weapons
2017,2017-03,09,WEAPONS OFFENSES,15,Weapons
2017,2017-03,10,WEAPONS OFFENSES,16,Weapons
2017,2017-03,11,WEAPONS OFFENSES,13,Weapons
2017,2017-03,12,WEAPONS OFFENSES,10,Weapons
2017,2017-04,02,WEAPONS OFFENSES,10,Weapons
2017,2017-04,03,WEAPONS OFFENSES,6,Weapons
2017,2017-04,04,WEAPONS OFFENSES,8,Weapons
2017,2017-04,05,WEAPONS OFFENSES,10,Weapons
2017,2017-04,06,WEAPONS OFFENSES,17,Weapons
2017,2017-04,07,WEAPONS OFFENSES,12,Weapons
2017,2017-04,08,WEAPONS OFFENSES,31,Weapons
2017,2017-04,09,WEAPONS OFFENSES,25,Weapons
2017,2017-04,10,WEAPONS OFFENSES,11,Weapons
2017,2017-04,11,WEAPONS OFFENSES,14,Weapons
2017,2017-04,12,WEAPONS OFFENSES,10,Weapons
2017,2017-05,02,WEAPONS OFFENSES,18,Weapons
2017,2017-05,03,WEAPONS OFFENSES,9,Weapons
2017,2017-05,04,WEAPONS OFFENSES,15,Weapons
2017,2017-05,05,WEAPONS OFFENSES,23,Weapons
2017,2017-05,06,WEAPONS OFFENSES,11,Weapons
2017,2017-05,07,WEAPONS OFFENSES,2,Weapons
2017,2017-05,08,WEAPONS OFFENSES,26,Weapons
2017,2017-05,09,WEAPONS OFFENSES,24,Weapons
2017,2017-05,10,WEAPONS OFFENSES,12,Weapons
2017,2017-05,11,WEAPONS OFFENSES,21,Weapons
2017,2017-05,12,WEAPONS OFFENSES,12,Weapons
2017,2017-06,02,WEAPONS OFFENSES,21,Weapons
2017,2017-06,03,WEAPONS OFFENSES,10,Weapons
2017,2017-06,04,WEAPONS OFFENSES,8,Weapons
2017,2017-06,05,WEAPONS OFFENSES,16,Weapons
2017,2017-06,06,WEAPONS OFFENSES,23,Weapons
